customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
SESTP012,Kapellskär,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP101,Norrköping,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP102,Kappelskär,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP103,Södertälje,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP104,Nynäshamn,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP105,Sundsvall,SE,Box 12854,SE11298,Stockholm,59.3251172,18.0710935
SESTP106,Grisslehamn-Norrtälje,SE,Box12854,11298,Stockholm,59.3251172,18.0710935
SESTP107,Hallstavik-Norrtälje,SE,Box 12854,11298,Stockholm,59.3251172,18.0710935
SESTP108,Gävle,SE,Box12854,11298,Stockholm,59.3251172,18.0710935
SESTP109,Husum-Örnsköldsvik,SE,Box 12854,11298,Stockholm,59.3251172,18.0710935
SESTP110,Härnösand,SE,Box 12854,11298,Stockholm,59.3251172,18.0710935
SESTP111,Iggesund-Hudiksvall,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP112,Oxelösund,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP113,Piteå,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP114,Skelleftehamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP115,Umeå/Holmsund,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP116,Lugnvik-Kramfors,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP117,Västerås,SE,Box 11298,SE-11298,Stockholm,59.3251172,18.0710935
SESTP118,Domsjö-Örnsköldsvik,SE,Box 12854,S-11298,Stockholm,59.3364012,14.029832
SESTP122,Ala,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTP123,Rönnskär,SE,Box12854,SE11298,Stockholm,59.3251172,18.0710935
